annotation,cellType
"118_0:AVL/DVB, RME motor neurons",neuron
119_0:GLR cells,glia
120_0:AVJ/RIM inter neurons,neuron
121_0:RIB inter neurons,neuron
122_0:RIG inter neurons,neuron
123_0:AVF inter neurons,neuron
124_0:I4 inter neurons,neuron
125_0:M3 motor neurons,neuron
126_0:M4 motor neurons,neuron
127_0:NA motor neurons,neuron
128_0:RIH inter neurons,neuron
129_0:RID motor neurons,neuron
130_0:VD motor neurons,neuron
131_0:AVG inter neurons ,neuron
132_0:AS motor neurons,neuron
133_0:NA motor neurons,neuron
134_0:NA sensory neurons,neuron
135_0:I6 inter neurons,neuron
136_0:DA/PDA tail motor neurons,neuron
137_0:PVR inter neurons,neuron
138_0:PVT inter neurons,neuron
139_0:NA pharyngeal neurons,neuron
140_0:ALA neurons,neuron
141_0:NA sheath glia,glia
142_0:RIR inter neurons,neuron
143_0:vulval muscle 1,muscle
144_0:RIS inter neurons,neuron
145_0:VC motor neurons 4-5,neuron
146_0:uterine-vulval cell,uterus_vulva
